,Index
 ,0
!,1
"""",2
#,3
$,4
%,5
&,6
',7
*,8
+,9
",",10
-,11
.,12
/,13
0,14
1,15
2,16
3,17
4,18
5,19
6,20
7,21
8,22
9,23
:,24
;,25
<,26
=,27
>,28
?,29
@,30
\,31
_,32
a,33
b,34
c,35
d,36
e,37
f,38
g,39
h,40
i,41
j,42
k,43
l,44
m,45
n,46
o,47
p,48
q,49
r,50
s,51
t,52
u,53
v,54
w,55
x,56
y,57
z,58
~,59
£,60
¨,61
°,62
±,63
³,64
´,65
µ,66
·,67
º,68
×,69
á,70
ä,71
ç,72
é,73
ê,74
ó,75
ö,76
ü,77
ā,78
ć,79
č,80
ō,81
ū,82
ű,83
ά,84
ί,85
α,86
β,87
γ,88
ι,89
κ,90
λ,91
μ,92
ν,93
ο,94
π,95
ρ,96
ς,97
τ,98
υ,99
φ,100
ό,101
ύ,102
‎,103
–,104
—,105
‘,106
’,107
“,108
”,109
…,110
€,111
−,112
