,Token
0,	
1,"
"
2, 
3,!
4,""""
5,#
6,$
7,%
8,'
9,*
10,+
11,","
12,-
13,.
14,/
15,0
16,1
17,2
18,3
19,4
20,5
21,6
22,7
23,8
24,9
25,:
26,;
27,=
28,?
29,@
30,a
31,b
32,c
33,d
34,e
35,f
36,g
37,h
38,i
39,j
40,k
41,l
42,m
43,n
44,o
45,p
46,q
47,r
48,s
49,t
50,u
51,v
52,w
53,x
54,y
55,z
56,°
57,±
58,³
59,µ
60,ç
61,é
62,ö
63,ā
64,ī
65,ά
66,έ
67,ί
68,α
69,γ
70,ε
71,ι
72,κ
73,λ
74,μ
75,ν
76,ο
77,π
78,ρ
79,σ
80,τ
81,φ
82,ω
83,ύ
84,а
85,б
86,в
87,г
88,д
89,е
90,ж
91,и
92,к
93,л
94,м
95,н
96,о
97,п
98,р
99,с
100,т
101,у
102,ф
103,ч
104,ы
105,я
106,أ
107,إ
108,ا
109,ب
110,ح
111,د
112,س
113,ع
114,ل
115,م
116,ن
117,ه
118,ं
119,क
120,ग
121,च
122,ण
123,त
124,द
125,ध
126,न
127,म
128,य
129,र
130,व
131,श
132,स
133,ह
134,ा
135,ि
136,ी
137,ो
138,ौ
139,।
140,ં
141,ક
142,ગ
143,ચ
144,દ
145,ધ
146,ન
147,મ
148,ર
149,સ
150,હ
151,ા
152,ી
153,ો
154,ം
155,ഃ
156,അ
157,ആ
158,ഇ
159,ഈ
160,ഉ
161,ഊ
162,ഋ
163,എ
164,ഏ
165,ഐ
166,ഒ
167,ഓ
168,ഔ
169,ക
170,ഖ
171,ഗ
172,ഘ
173,ങ
174,ച
175,ഛ
176,ജ
177,ഞ
178,ട
179,ഠ
180,ഡ
181,ഢ
182,ണ
183,ത
184,ഥ
185,ദ
186,ധ
187,ന
188,പ
189,ഫ
190,ബ
191,ഭ
192,മ
193,യ
194,ര
195,റ
196,ല
197,ള
198,ഴ
199,വ
200,ശ
201,ഷ
202,സ
203,ഹ
204,ാ
205,ി
206,ീ
207,ു
208,ൂ
209,ൃ
210,െ
211,േ
212,ൈ
213,ൊ
214,ോ
215,ൌ
216,്
217,ൗ
218,൦
219,൧
220,൨
221,൩
222,൪
223,൫
224,൬
225,൭
226,൮
227,൯
228,ൺ
229,ൻ
230,ർ
231,ൽ
232,ൾ
233,ൿ
234,​
235,‌
236,‍
237,–
238,‘
239,’
240,‚
241,“
242,”
243,−
244,ﷲ
